AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
"""Kenichi Handa""",1.285714286,5.285714286,16,39.14285714,5,5,0.714285714,187,11.6875
"""Kenichi Itakura""",1,3.833333333,8,25.83333333,4,3,3,155,19.375
"""Kenichi Katou""",1,2,4,14.5,1,0,0,7,1.75
"""Kenichi Miura""",1.25,2.75,10,38,2,1,0.25,20,2
"""Kenichiro Uda""",1,5,1,25,1,0,2,4,4
"""Kenneth H. OKeefe""",1,0,1,27,1,0,0,7,7
"""Kenneth ONeal""",0,8,1,0,0,0,0,0,0
"""Kevin J. OConner""",1,5,1,25,1,0,2,7,7
"""Kevin K. OBrien""",1,0,1,12,0,0,0,0,0
"""Kevin OBrien""",1.8,11.3,18,36.9,13,15,11.3,1024,56.88888889
"""L. Demians dArchimbaud""",2,11,1,64,2,0,2,10,10
"""L. OConnell""",1,3.5,2,32,0,0,0,0,0
"""Larry R. DAddario""",1,1,1,27,1,1,0,203,203
"""Lawrence A. ONeill""",1,4.25,7,32,1,1,0,15,2.142857143
"""Leandro DOrazio""",1.5,17,2,39.5,1,0,0.5,4,2
"""Lief ODonnell""",0,4,1,0,0,0,0,0,0
"""Loai Ali Tawalbeh""",1,10,3,20.5,1,0,5,3,1
"""Luca dellAgnello""",2,48,5,71.25,7,6,1.5,727,145.4
"""Ludovic LHours""",1.5,3,2,19,1,1,0,17,8.5
"""Luisa DAmore""",1.75,7.25,13,33.125,6,5,0.875,144,11.07692308
"""Luke OConnor""",2.333333333,1.5,18,67.66666667,11,12,2.333333333,386,21.44444444
"""M. A. OKeefe""",1,5.5,4,45,2,2,0,34,8.5
"""M. DellOcaKhouja""",1,32,1,32,1,0,0,8,8
"""M. dAbreu""",2,6,1,24,2,1,0,21,21
"""MLissa Smith""",1,1,1,32,0,0,2,0,0
"""M\xc3\xa1ire ONeill""",1,51,1,12,1,0,0,9,9
"""Maeve OConnor""",1,4,1,38,1,1,0,23,23
"""Maire ONeill""",0,6,1,0,0,0,0,0,0
"""Maire P. ONeill""",1,8,1,24,0,0,0,0,0
"""Manuel A. dAbreu""",1.428571429,4.428571429,29,33.14285714,6,4,1.714285714,139,4.793103448
"""Manuel dArbreu""",1,1,1,12,0,0,0,0,0
"""Marcelo dAmorim""",1.833333333,8.666666667,8,45.16666667,8,7,5.333333333,278,34.75
"""Marco DApuzzo""",1.285714286,3.857142857,15,21.57142857,3,2,0.285714286,34,2.266666667
"""Marcus OConnell""",1.333333333,2.333333333,9,22,2,0,0.333333333,9,1
"""Margaret OMahony""",1,5,3,27.5,0,0,0,0,0
"""Martin F. OConnor""",1,8,4,13.5,1,1,10,11,2.75
"""Martin OHalloran""",1,6.5,2,13.5,2,1,0,24,12
"""Martin OLeary""",0,7,1,0,0,0,0,0,0
"""Massimo DAlessandro""",1.5,6,2,29.5,3,1,1,24,12
"""Matteo DallOsso""",1,8,1,16,1,1,0,170,170
"""Matteo DellAmico""",1.25,9.5,4,24.25,3,3,2.25,34,8.5
"""Matthew T. OKeefe""",2,5.818181818,15,48.36363636,15,18,3,679,45.26666667
"""Mattias ONils""",2,8,12,44.33333333,8,7,0.222222222,157,13.08333333
"""Maureen OFlynn""",2,5.666666667,3,44.33333333,5,3,7.333333333,65,21.66666667
"""Melissa E. ONeill""",1,1.333333333,10,13.66666667,3,2,15.33333333,62,6.2
"""Mhamed Drissi""",2,11,12,37,4,1,4.666666667,34,2.833333333
"""Michael F. P. OBoyle""",4.125,15.0625,17,95.125,28,40,31.875,2054,120.8235294
"""Michael J. ODonnell""",1.631578947,1.578947368,32,68.47368421,13,15,2.631578947,1318,41.1875
"""Michael OBoyle""",0,2,1,0,0,0,16,0,0
"""Mike OConnor""",1.333333333,5,5,39.66666667,2,2,2.333333333,211,42.2
"""Mike OMahony""",1.75,6,4,38.25,6,5,2.25,206,51.5
"""Mohammed MSaad""",1.666666667,8.833333333,18,71.66666667,7,5,0.833333333,210,11.66666667
"""Molly A. ONeil""",0,1,1,0,0,0,0,0,0
"""Nadav HarEl""",1,29.5,5,44.5,2,2,24.5,447,89.4
"""Nele V. T. DHalleweyn""",1,4,1,28,1,1,0,12,12
"""Nick OConnor""",1,3,1,38,1,1,0,19,19
"""Nicola E. LInsalata""",2.333333333,11.33333333,4,45.33333333,5,5,3,155,38.75
"""Noel E. OConnor""",9.818181818,60.45454545,13,190.2727273,22,45,13.36363636,1573,121
"""Omid Reza Marouzi""",1,2,1,28,1,0,0,7,7
"""P. DAbramo""",1,10.5,2,13.5,1,1,0,14,7
"""P. R. OBrien""",1,6,1,32,1,1,4,89,89
"""Paddy OBrien""",0,3,1,0,0,0,0,0,0
"""Paolo DAbramo""",0,27,1,0,0,0,0,0,0
"""Paolo DAlberto""",1.714285714,7.428571429,9,28.28571429,6,4,12.14285714,110,12.22222222
"""Paolo DArco""",3.222222222,8.333333333,10,86.88888889,10,15,11.66666667,557,55.7
"""Pasqua DAmbra""",1.5,9.6,14,21.2,6,4,2.4,75,5.357142857
"""Patrick D. OBrien""",2,3,1,55,2,2,4,102,102
"""Patrick Le Gou\xc3\xabslier dArgence""",1,0,3,26,1,0,0,5,1.666666667
"""Patrick OKeefe""",1.4,1.8,9,33,7,6,3,496,55.11111111
"""Patrick OLeary""",1.666666667,8.333333333,14,68,3,0,1,25,1.785714286
"""Patrick ONeil Meredith""",2,31,1,51,2,2,29,56,56
"""Paul S. DUrbano""",1,3,1,18,1,1,0,15,15
"""Pedro R. DArgenio""",2.071428571,6.714285714,14,51.92857143,21,24,11.35714286,1440,102.8571429
"""Peter OBrien""",1,9,1,27,1,0,1,1,1
"""Peter R. OBrien""",1,1,1,27,1,1,6,23,23
"""Peter W. OHearn""",3.210526316,7.105263158,20,71.42105263,34,49,16.78947368,5189,259.45
"""Pierre LEcuyer""",4.136363636,7.590909091,22,89.81818182,34,66,19.68181818,4416,200.7272727
"""Qingan Li""",0,24,1,0,0,0,0,0,0
"""R. J. DInnocenzo""",1,1,1,32,0,0,0,0,0
"""R. LBath""",2,11,1,64,2,0,2,10,10
"""R. R. OBrien""",1,5,1,28,1,1,0,17,17
"""R. in t Velt""",1,3,8,37,2,0,3.333333333,13,1.625
"""Raed Al-Dujaily""",0,14,1,0,0,0,0,0,0
"""Raffaello DAndrea""",3.111111111,12.22222222,10,126.1111111,17,21,1.333333333,1429,142.9
"""Remy Eskinazi SantAnna""",1.75,7.5,4,29,3,1,1,21,5.25
"""Reynold DSa""",0,6,1,0,0,0,0,0,0
"""Robert OCallahan""",1.25,2.5,9,42.75,5,5,14.75,852,94.66666667
"""Robert OCallahn""",1,0,1,32,1,1,5,72,72
"""Robert ODell""",1,1,1,20,1,0,0,4,4
"""Rory OKane""",1,7,1,20,1,0,0,1,1
"""Rory V. OConnor""",1,31,1,11,1,0,0,2,2
"""Roshan M. DSouza""",0,9,1,0,0,0,0,0,0
"""Roy DSouza""",1,6,1,28,0,0,3,0,0
"""S. Cian OMathuna""",1.666666667,22,8,36.5,8,7,1.666666667,293,36.625
"""Salvatore DAntonio""",2.714285714,16.14285714,7,47.42857143,5,3,4.428571429,84,12
"""Salvatore DOnofrio""",3.5,3.5,2,54,3,0,1.5,27,13.5
"""Sean OMelia""",1,2,1,22,1,0,0,2,2
"""Sean ONeil""",1.75,4,4,87.5,4,3,3,87,21.75
"""Sergio DAngelo""",1.636363636,6.272727273,20,28.18181818,8,8,0,246,12.3
"""Shane ONeill""",1,3.5,2,23.5,1,0,0,1,0.5
"""Shaun DSouza""",1,7,1,31,1,1,12,91,91
"""Shaun OLeary""",1,4,1,37,0,0,0,0,0
"""Shinichi Fukasawa""",1,6,1,27,1,0,2,6,6
"""Shinichi Hirose""",1.2,5.8,19,26.2,4,3,0.8,332,17.47368421
"""Shinichi Kawakami""",1,13,1,25,1,0,2,6,6
"""Shinichi Kouyama""",1.5,5.5,4,27.75,1,0,0,6,1.5
"""Shinichi Miura""",1.25,18.5,6,29.25,5,2,0,40,6.666666667
"""Shinichi Nagano""",2,5,6,35.66666667,3,1,7,37,6.166666667
"""Shinichi Wakabayashi""",2.133333333,6.133333333,16,43.6,7,4,0.266666667,123,7.6875
"""Shinichiro Matsuo""",2.333333333,25.66666667,6,60.66666667,2,0,3.333333333,22,3.666666667
"""Shinichiro Nishizaki""",1,2,1,44,1,1,11,59,59
"""Shinichiro Okazaki""",1.4,3.7,17,32.1,8,5,3.3,147,8.647058824
"""Shinichirou Saeki""",1,2,6,10,2,0,5,6,1
"""Shunan Zhong""",0,8,1,0,0,0,0,0,0
"""Stefano DAmico""",2,13,6,60.66666667,5,0,0.833333333,37,6.166666667
"""Stephen OKane""",1.5,3.25,4,22.25,2,0,0,10,2.5
"""Tchimou NTakp\xc3\xa9""",1,3.5,2,14.5,1,1,0,42,21
"""Theo DHondt""",4.692307692,20.76923077,16,67.84615385,18,27,12.84615385,1373,85.8125
"""Thomas Preudhomme""",0,6,1,0,0,0,0,0,0
"""Tim OFarrell""",1,21,1,24,1,0,0,2,2
"""Tim OShea""",1.083333333,2.416666667,30,29,7,5,0,649,21.63333333
"""Timothy W. ONeil""",1.875,3.875,9,42.5,5,2,7,69,7.666666667
"""Una-May OReilly""",3.4,20.1,17,113,16,23,6.1,957,56.29411765
"""Vijay DSilva""",2.333333333,13,5,59,6,5,16,190,38
"""Vincent OBrien""",0,14,1,0,0,0,4,0,0
"""William OConnell""",1.833333333,5.666666667,13,146.1666667,3,0,2.666666667,15,1.153846154
"""William OMullane""",2.333333333,20.33333333,3,200.3333333,6,6,3.333333333,229,76.33333333
"""William T. OConnell""",1,2,2,25,1,0,0,4,2
"""ZhenAn Liu""",1,8.5,2,16,2,1,0,20,10
"""Zvi Harel""",1,1,12,30,1,0,0,5,0.416666667
A-Qun Deng,1,2,1,7,0,0,0,0,0
A-Rum Jun,1.5,7,2,15,1,0,0,3,1.5
A. A. Aaby,1.5,1.5,3,33,1,1,0,30,10
A. A. Abidi,1,2,16,27,2,1,0.25,19,1.1875
A. A. Alhadeed,1,1,1,17,1,1,0,20,20
A. A. Almen,1,5,1,32,1,0,0,3,3
A. A. Bayrakci,1,1,1,14,0,0,0,0,0
A. A. Chien,1,1,1,14,1,1,0,40,40
A. A. Diwan,1.25,2,18,21.25,3,0,1.5,20,1.111111111
A. A. Faieza,1,3,1,8,0,0,0,0,0
A. A. Ferri,0,1,1,0,0,0,1,0,0
A. A. Hussein,1,2,1,17,1,1,0,14,14
A. A. Khan,1.5,5,15,48.75,5,4,0,257,17.13333333
A. A. Nacci,0,11,1,0,0,0,0,0,0
A. A. Radwan,1,3,4,14,1,0,5,6,1.5
A. A. Rampuria,1,2,1,12,0,0,0,0,0
A. A. Soliman,2.125,1,10,54.375,8,7,0,272,27.2
A. A. Suzim,1,2,1,18,0,0,0,0,0
A. A. Wardak,1,2,1,18,1,0,0,3,3
A. A. de Lange,1,3,1,32,1,0,2,2,2
A. Abelem,1,3,1,12,1,0,0,1,1
A. Abo Shosha,1,2,1,20,1,0,0,1,1
A. Abou-El-Maga,1,3,1,25,0,0,0,0,0
A. Acosta,1,12,1,4,0,0,0,0,0
A. Adalal,1,32,1,32,1,0,0,8,8
A. Agarwal,1.666666667,7.2,19,50.2,14,15,2.8,1918,100.9473684
A. Aggoun,1,2.5,11,24,2,0,0,9,0.818181818
A. Agrawal,1.428571429,7.714285714,19,34.14285714,5,4,2.428571429,131,6.894736842
A. Aguiar,1,3.333333333,4,15.66666667,1,0,0,1,0.25
A. Aguila,2,13,17,36.71428571,5,4,3.428571429,93,5.470588235
A. Ahmad,3,18.14285714,33,51.71428571,7,6,0.142857143,229,6.939393939
A. Akin,2,14.25,7,19.25,4,1,0,35,5
A. Akiyama,1,4,1,28,1,0,0,4,4
A. Akkas,1,5,6,14.5,1,1,0,33,5.5
A. Allam,1,2.333333333,14,27,3,1,0,21,1.5
A. Alzughaibi,0,3,1,0,0,0,0,0,0
A. Amanatiadis,1,4,1,8,0,0,0,0,0
A. Amar,1.333333333,9.222222222,10,48.44444444,9,9,3.444444444,522,52.2
A. Amerasekera,1,6,1,12,0,0,0,0,0
A. Amira,1.75,6.75,4,42.5,3,0,1,18,4.5
A. Amirabadi,1.75,6,4,42.5,3,0,1,18,4.5
A. Amoura,1,3,1,19,1,1,9,11,11
A. Ananda Prasad Sarab,1,3,2,14.5,1,0,0,4,2
A. Andrei,1.25,9.5,5,28.25,3,2,5.25,50,10
A. Antonau,1,6,1,34,1,0,4,4,4
A. Armato,0,14,1,0,0,0,0,0,0
A. Aron,1,3,1,17,1,0,0,4,4
A. Artemiou,1,2,1,38,0,0,0,0,0
A. Asano,1,2,5,23,1,0,0,2,0.4
A. Asenov,1,38,1,13,1,0,0,1,1
A. Averbuch,1,4,1,50,1,0,7,6,6
A. B. Bhattacharyya,1,3.166666667,16,14.66666667,2,0,0,13,0.8125
A. B. Lesk,1,1,1,32,1,0,0,4,4
A. B. M. Alim Al Islam,0,19,1,0,0,0,0,0,0
A. B. M. Russel,1,28,2,17.5,0,0,2.5,0,0
A. B. M. Shawkat Ali,1.75,10.5,7,19,2,1,0.25,21,3
A. B. Ruighaver,1.25,1.75,12,20.75,2,1,0.5,14,1.166666667
A. Bailas,1,1,1,44,0,0,2,0,0
A. Bandyopadhyay,1,3.5,10,24.5,1,0,0,9,0.9
A. Banerjee,1,9.5,7,33.5,2,2,0.5,35,5
A. Bariya,1,2,1,12,0,0,0,0,0
A. Barrero,2,9,26,31.5,2,0,0,11,0.423076923
A. Baschirotto,2,7,8,46,2,0,0,14,1.75
A. Basu,2,8.5,16,55.5,3,2,2.25,142,8.875
A. Behling,1,4,1,34,1,0,0,5,5
A. Bellaouar,1,3.666666667,12,27,1,1,0,33,2.75
A. Benjamin Premkumar,3.875,13.5,9,112.5,7,3,1.375,113,12.55555556
A. Benmeddour,1,2,1,12,1,0,0,2,2
A. Bernstein,4.757575758,17.63636364,72,210.2121212,65,110,17.36363636,25662,356.4166667
A. Bettinelli,1,5,1,14,1,0,0,3,3
A. Beyranvand Nejad,0,2,1,0,0,0,0,0,0
A. Bianco,1,4,1,25,1,0,0,3,3
A. Bigot,1.333333333,3.555555556,13,39.55555556,8,7,0.777777778,243,18.69230769
A. Birolini,1,0,1,17,0,0,0,0,0
A. Biswas,1,22,1,17,1,1,0,30,30
A. Blaickner,1,2,1,20,1,0,2,2,2
A. Bobas,1,1,1,32,0,0,0,0,0
A. Boneh,1,1,1,27,0,0,0,0,0
A. Bontemps,1,3,1,28,1,1,0,41,41
A. Bosma,1,2.333333333,26,14.33333333,2,1,0,14,0.538461538
A. Both,2.222222222,4.333333333,30,29.33333333,9,9,2,328,10.93333333
A. Bourgeade,1,1,3,13.5,1,1,0,12,4
A. Bradley,1.3,3,24,32.9,7,6,0.9,415,17.29166667
A. Brennemann,1,7,1,28,1,1,0,119,119
A. Breuer,3.657894737,6,45,84.89473684,36,91,3.289473684,6608,146.8444444
A. Brezavscek,1,1,1,17,1,1,0,23,23
A. Brodie,1,2,1,38,0,0,0,0,0
A. Bubenhofer,0,2,1,0,0,0,0,0,0
A. Bugeja,1,1,1,28,1,1,0,26,26
A. Bulusu,1,7,1,17,1,0,0,2,2
A. Burago,1,2.5,6,23,2,1,0,18,3
A. C. Calder,1,12,1,37,1,1,1,48,48
A. C. Finch,1,3,1,32,1,1,0,36,36
A. C. H. Ng,1,3.5,6,15.5,2,1,6,26,4.333333333
A. C. Kalpakas,2,5,1,13,0,0,0,0,0
A. C. Kot,1.6,4,11,51.2,3,2,0,195,17.72727273
A. C. Liu,1,1.2,21,17.2,3,2,0.2,60,2.857142857
A. C. Moore,1,0,1,32,0,0,0,0,0
A. C. Rajeev,2,12,2,37,3,2,2.5,29,14.5
A. C. Seabaugh,1,4,1,23,1,0,0,3,3
A. C. Verschueren,1,1.666666667,6,23.66666667,2,0,2,12,2
A. Calvez,0,3,1,0,0,0,0,0,0
A. Candelori,1.666666667,12.33333333,3,32.66666667,4,3,0.333333333,100,33.33333333
A. Canning,1,8.5,3,37.5,0,0,0,0,0
A. Cao,1,13,12,23.33333333,3,2,0,96,8
A. Carloganu,1,2,1,29,1,0,0,9,9
A. Carpenter,1.7,3.15,22,42.2,21,23,1.85,8184,372
A. Carreira,1,1.666666667,10,19.33333333,2,0,0,13,1.3
A. Cawley,1,3,2,21.5,1,0,0,1,0.5
A. Chandrakasan,0,3,1,0,0,0,0,0,0
A. Charnes,1,3,1,12,1,1,0,11,11
A. Chattejee,1,1,1,28,1,1,0,63,63
A. Chatterjee,1.222222222,5.333333333,15,39.66666667,7,6,0.222222222,251,16.73333333
A. Chaudhuri,1,1.5,7,27,0,0,1,0,0
A. Chittor,1,3,1,11,0,0,0,0,0
A. Chkeif,1,3,1,32,1,1,1,15,15
A. Chorevas,1,1,1,32,1,0,2,2,2
A. Chureau,1,4,1,25,1,1,0,23,23
A. Close,1.5,4,3,51.5,1,1,0,14,4.666666667
A. Cocuccio,0,7,1,0,0,0,0,0,0
A. Cristofori,0,43,1,0,0,0,0,0,0
A. Cruz,4.666666667,32.16666667,17,157.75,14,16,8.916666667,510,30
A. Crygier,2,14,1,12,2,2,0,28,28
A. Csendes,2,9,1,53,2,2,0,81,81
A. D. Close,1,3,1,32,1,0,0,2,2
A. D. Dominguez-Garcia,0,1,1,0,0,0,0,0,0
A. D. Donovan,1,2,1,32,1,1,0,12,12
A. D. Fagan,1.5,1.5,2,63,2,0,0,11,5.5
A. D. Garcia-Garcia,0,4,1,0,0,0,0,0,0
A. D. Grasso,1,3.5,2,32,2,2,0,34,17
A. D. Hudson,1,4.5,4,23.5,2,1,0,31,7.75
A. D. Inselberg,1,1,1,12,1,0,0,1,1
A. D. Kudari,0,10,1,0,0,0,0,0,0
A. D. Parks,1,0,1,38,1,0,0,1,1
A. D. Raza,1,1,1,27,1,0,0,3,3
A. D. Romig,1,2,1,15,1,0,0,3,3
A. D. Salis,1,5,1,29,1,0,0,8,8
A. D. Santana Gil,0,7,1,0,0,0,0,0,0
A. D. Singh,1,2,1,27,1,0,0,8,8
A. D. White,1,5,1,29,0,0,2,0,0
A. D\xc3\xa9k\xc3\xa1ny,1,2,1,18,0,0,0,0,0
A. Dain Samples,1.2,1.8,9,32.4,5,5,4,260,28.88888889
A. Dalke,1,10,1,14,1,1,0,16,16
A. Daniel Block,1,1,1,17,1,0,0,5,5
A. Danowitz,0,5,1,0,0,0,0,0,0
A. Das Gupta,1,3,13,27.5,0,0,0,0,0
A. Dasgupta,1.666666667,8.5,21,33,4,3,3.666666667,65,3.095238095
A. David Selvakumar,1,2.333333333,3,23,1,0,0,7,2.333333333
A. De Gloria,1,4,11,28,2,2,0,76,6.909090909
A. Deis,1,1,1,8,0,0,0,0,0
A. Delaruelle,1,3.5,4,29,2,0,0,11,2.75
A. Delgado,1.272727273,5.727272727,18,21.54545455,6,4,0.272727273,85,4.722222222
A. Delpoux,1,4,1,9,0,0,0,0,0
A. Desai,1.846153846,4.923076923,17,34.07692308,15,15,1.615384615,997,58.64705882
A. Dezzani,1,5,1,18,1,1,2,21,21
A. Dharchoudhuri,1,1,1,12,0,0,0,0,0
A. Di\xc3\xa9guez,1,11,1,11,1,0,0,6,6
A. Diaz,2.375,6.25,18,34.125,7,3,0.75,108,6
A. Dobnikar,1,1.333333333,5,32.33333333,2,0,0,6,1.2
A. Domman,1,2,6,16,2,1,0,17,2.833333333
A. Dreweke,1,4.5,2,12.5,2,1,0,20,10
A. Druzeta,1,1,1,27,1,0,0,9,9
A. Duksu Oh,1,2,10,20.5,3,2,0.5,39,3.9
A. Dunworth,1,1,1,27,0,0,0,0,0
A. Dutta,1.333333333,6.666666667,10,31.66666667,1,0,0.333333333,5,0.5
A. E. A. Almaini,1.333333333,3.111111111,31,20,4,2,1.111111111,59,1.903225806
A. E. Eiben,4.0625,12.8125,20,113.25,25,35,6.4375,3662,183.1
A. E. Fitch,1,0,12,32,1,0,0,3,0.25
A. E. Gera,1,0.5,3,13,0,0,0,0,0
A. E. Hussein,1,1,3,24.5,1,0,0,8,2.666666667
A. E. Mahdi,2,1,1,52,0,0,0,0,0
A. E. Oldhoeft,1,1,1,50,0,0,2,0,0
A. Ege,1.555555556,10.44444444,35,30.22222222,6,4,6.333333333,190,5.428571429
A. Ege Engin,0,42,1,0,0,0,14,0,0
A. Eiss,1,1.5,10,11.5,1,0,0,6,0.6
A. El Masri,1,2,1,11,1,1,0,16,16
A. El-Ghazaw,6.928571429,28.28571429,17,151.2142857,21,39,6.357142857,1349,79.35294118
